"","names_n","elo_n"
"797","bukvalno500",1000.83520599251
"798","AwkwardAngle",1266.73202614379
"799","smithaa02",1684.05194805195
"800","Ebabba",1819.36196319018
"801","dratul_23",1494.5
"802","francis9",2057.6821192053
"803","Tenyson",1852.8908045977
"804","mokhtar_2003",1190.6179245283
"805","sayedking",1474.46428571429
"806","Notrichbarba",1448.69387755102
"807","Dezember11",2052.37172774869
"808","isikos",1024.77477477477
"809","vanmys65",1654.04312668464
"810","Varuk1",1329.02923976608
"811","zulfam",1486.5
"812","Toxima",1549.61290322581
"813","AndresCordoba40",1427.25252525253
"814","mah2706",1316.34254143646
"815","ZhayrMontero",1317.07058823529
"816","Master_0604",1304.3064516129
"817","Discolo",1312.37142857143
"818","Semizers",1221.58620689655
"819","bigE65",902.865979381443
"820","Emelie4U",1700.49879518072
"821","Jayboss",1820.9484375
"822","Korneel_S",1248.58048780488
"823","DyslexicdoG",1377
"824","MaksimKobelev",1469.96610169492
"825","Lefoupion",1996.35582822086
"826","Finat2517",1207.10322580645
"827","Aron_Cabalza",2096.97440758294
"828","Shiaxou",2395.61881188119
"829","Wojtel",2267.23206751055
"830","Tanishq1414",1637.26470588235
"831","jeremiahn1",1410.75
"832","xtoes",873.473684210526
"833","kill2kill",1681.36842105263
"834","Yussefmoo",1370.04255319149
"835","alaqeeak",1529.4126984127
"836","Kyssling",1884.10222222222
"837","nihal80101",1222.69230769231
"838","Wilosd",1601.3125
"839","malek4663",1479.47260273973
"840","Pollo_Salvaje",1873.20640569395
"841","abdullah_001",1041.5078125
"842","AlexPiter812",1782.64021164021
"843","HenrikSAndersen",2109.73913043478
"844","Zen_Archer",1718.99244712991
"845","moribundcanid",1542.21739130435
"846","elreyenigma02",2183.99410377358
"847","Espliego100",1985.13442622951
"848","FokusNik583",1853.38341968912
"849","Flying-Bee",977.026315789474
"850","behrady1300",2212.56140350877
"851","rocelsgalicia",1408.69491525424
"852","yakadir1953",2312.08401084011
"853","SikharRegmi7",2101.45040214477
"854","rostuha1",1738.17085427136
"855","whiskyankeesierra",1911.83248730964
"856","d_ric",1831.46511627907
"857","faisalsultan",1255.03125
"858","shahraam60",1730.44210526316
"859","Goldfinger_Siemens",2382.95652173913
"860","yoonix",1694.04977375566
"861","carlicolosse",1464.35238095238
"862","cfranco15",868.820512820513
"863","Andrewman7",1281.57692307692
"864","patrick1037",1781.66267942584
"865","piezafuerte",2103.12574850299
"866","LyricalDesert",1211.6
"867","omarkart",1232.39759036145
"868","k1ruha1",1815.8743718593
"869","kenzotsen",1240.63568773234
"870","Weerasekara",2271.93908629442
"871","tirones",1825.08628659476
"872","julianbarba",1610.55793991416
"873","Arda_Efe57",1407.21568627451
"874","RooksNite",992.057971014493
"875","nhall0901",803
"876","LKV_IBI",1853.06785714286
"877","Observant6652",2777.29787234043
"878","Emil_baymatov1982",1351.09248554913
"879","hasanant",1553.47863247863
"880","RageAncestors",1184.11818181818
"881","Idontcareeerer",1548.58064516129
"882","fmoyamun",1968.21951219512
"883","rasaf00",1013.13157894737
"884","Jcentrurious",1874.67961165049
"885","TheHush",1923.93307086614
"886","jack99999999",1488.91240875912
"887","aeje",1727.0831408776
"888","insensitive1",1534.6170212766
"889","GreatEddie",2004.59349593496
"890","diegozalazar",2141.27876106195
"891","Artem_2014_A",1292.25
"892","Skogstroll",1824.61637931034
"893","andriichess",1109.27272727273
"894","soutik",1424.29850746269
"895","ortod0x",1708.51070336391
"896","rijik",2087.93548387097
"897","Gaidukov",1826.54609929078
"898","jaimesneitor",2155.81818181818
"899","alexey2703",1731.83333333333
"900","rizaed",1256.73913043478
"901","totoro45",1593.37966101695
"902","TKT87",2055.5
"903","dltorre",2122.13855421687
"904","Nastya4140",1694.4
"905","Al-Adrian",1739.671875
"906","Kup_nu4",1434.69827586207
"907","RomanSteblovskyi",1845.67445255474
"908","pkarimipour",1745.66666666667
"909","PsychoDaddy",2188.43824701195
"910","gaddour13",1512.93636363636
"911","passiveIcomeAI",833.982142857143
"912","indioflechanegra1111",1966.38983050847
"913","walidmhm",1394.02013422819
"914","bon_dar",2085.78723404255
"915","elikoh80",1985.62428298279
"916","DrSabbagh",2126.47011952191
"917","WiuKORA",2269.11111111111
"918","pajarito12395",1084.58333333333
"919","gost1k",1058.14705882353
"920","Tatenda001",1977.85393258427
"921","gychek",970.64
"922","CaioRoot",1544.18367346939
"923","LossAccount",1212.64788732394
"924","Ori-emi",1454.64457831325
"925","jcmesafischer",2485.71653543307
"926","Jeherson04081996",1806.37552742616
"927","ampos8",1610.81463414634
"928","kingfloyd",1471.6
"929","Suherpan",1910.37606837607
"930","AleksFish",2178.81627296588
"931","ElAfricano",1912.95081967213
"932","MagnasCarlsen83",1642.83443708609
"933","sandipan_2224",920.012987012987
"934","taras_trykur",1873.07142857143
"935","babyrageqwe",2094.52380952381
"936","Eliasbaruc",2472.90238095238
"937","swagonometry",784.224755700326
"938","poke-aman",1663.23333333333
"939","shayansh9372",1554.90566037736
"940","OsEV",924.076433121019
"941","hakon345",2402.45434298441
"942","t_sapag",1313.36199095023
"943","CYBERFRANK",1740.08359133127
"944","kalaschnikov-attack",1885.19759450172
"945","explorerishav",1414.18181818182
"946","rj1103",1501.54545454545
"947","Schachschlumpf",1932.58962264151
"948","islup",1456.41717791411
"949","Noshki",1703.38888888889
"950","Frring",1585.01935483871
"951","Nosejugarpipipi",1663.83333333333
"952","olshanskyev",1847.51327433628
"953","arturosyan",1733.91976225854
"954","helalmis",2070.42105263158
"955","premiumDuh",1191.58887545345
"956","Rameshwar244",1738.96563573883
"957","Alexl1953s",2186.28607594937
"958","D1801",1984.66666666667
"959","DJY5",1927.32962962963
"960","ratbr",1246.34899328859
"961","udaychandra",2353.17258883249
"962","tomislav_kurelec",1321.875
"963","Oirat08",1863.93846153846
"964","greg15615165",1500.92670157068
"965","CopyConstructor",1133.90099009901
"966","Paco_Rauda",1770.01048951049
"967","edvsr",1489.22126436782
"968","one_two_3",1419.66666666667
"969","craniac",1477.09691629956
"970","killer_777",2096.66993464052
"971","Visualife",2016.11466165414
"972","Khaled_11",2132.69230769231
"973","Mariomiranda2020",1964.32359550562
"974","dnyann",1381.99346405229
"975","aikapower",1498.83783783784
"976","qurgatt",2084.32438478747
"977","Tachyon52",1816.25609756098
"978","SaladSnake7",2132.25151515152
"979","Segmento",1950.47470238095
"980","sqsigor",1275.36038961039
"981","abyaya123",2264.24390243902
"982","TheToni",1553.4
"983","BeboChess4",1416.04929577465
"984","mike19701996",1185.1369047619
"985","bayu67",1439.21428571429
"986","ramlisihombing27",1885.79934210526
"987","IronmanBrix32",1955.88173652695
"988","utenok63",1876.51515151515
"989","mgosch",1943.40721649485
"990","Oulskool",2063.85378590078
"991","Waktusubuh",1699.95
"992","THEPAWN005",1620.65088757396
"993","djerdjer",1985.36893203884
"994","lokitosamax",1245.17910447761
"995","schachmeister18",1962.51127819549
"996","CocaineMonster",1327.4
"997","caseyglover",1551.21428571429
"998","Rolcavalcante",1461.26388888889
"999","birimzhan",1832.55833333333
"1000","KL002",1493.37435897436
