"","names_n","elo_n"
"182","biostarA68V",1615.29304029304
"183","ottomaani",1462.06542056075
"184","alexa_angeli",1957.12962962963
"185","IgnacioAlonsoMurias",1290
"186","Aakash_p",1141.61111111111
"187","SashaVP",1537.40136054422
"188","zhopikk",1310.1170212766
"189","SushrutR",2062.84577114428
"190","ims0ft",1192.33333333333
"191","kiim11",1264.20588235294
"192","simpsimp",1639.69135802469
"193","MisterMorro",1460.97472924188
"194","oscarformosa",2086.47706422018
"195","Radhika13",941.166666666667
"196","elmaasta",1527.58928571429
"197","communaut",1368.69186046512
"198","Still_Going_Strong",2192.46842105263
"199","jensen-pawn",1050.09090909091
"200","khalid_ontawar",2488.50269541779
"201","aarya_nath",2020.35291113381
"202","sanshiro",2490.88524590164
"203","eylulmine",1347.30729166667
"204","magnusss_2000",2064.99392466586
"205","Fernando_Bravoc",1212.12121212121
"206","MAN_3JZ",1266.51642710472
"207","Conqueror_sunil",1959.01955307263
"208","Ab_man",2026.58773784355
"209","jes25",1893.86614173228
"210","Karpif",1515.8664495114
"211","okbrostfu",1253.67605633803
"212","Versatile1",1353.02272727273
"213","LakenMok",1121
"214","EvilGiggle",1308.01639344262
"215","rudrakandpal",1832.20731707317
"216","Issiakhem",1056.7519379845
"217","kings-divine",1545.83122362869
"218","Garazd",2288.93975903614
"219","urbiola59",984.421052631579
"220","sopian87",2209.1433447099
"221","vitalik1345",1879.90710382514
"222","SalomonSH2",1876.64150943396
"223","ukin_u_nik",1879.81481481481
"224","Haggaru39",1321.5014084507
"225","nader4030",2196.32307692308
"226","EHZ2013",1545.23529411765
"227","atomek99",2587.86029411765
"228","gktuggl",1160.5641025641
"229","Eldor-Mag",1765.08095238095
"230","Game--Over",2120.04347826087
"231","Taner190",1542.4
"232","skm9394",1977.31764705882
"233","ghghfhffh",1312.33720930233
"234","wAkez0r",2127.36923076923
"235","hridik98",1598.36507936508
"236","London_Princess",1706.65443425076
"237","ohhmyy_jrrrr",1622.71111111111
"238","Paulbrains",1475.33150684932
"239","Schach97",1129.82352941176
"240","ElnurGasimbeyli",1691.4625
"241","Withden",1976.53038674033
"242","DocBar",1150.39449541284
"243","Mirmirri",2261.5
"244","Carlsen_17",1746.01357466063
"245","ToniBassons",1109.82857142857
"246","Pechora1981",1475.89147286822
"247","henry_cuevas",1986.3738317757
"248","Aarav1mayGupta",1813.59649122807
"249","ismaelMS",1397.77695167286
"250","Cyber_Attack",1963.34702549575
"251","Joethebad",1891.11931818182
"252","AVSaiKrishna",1994.925
"253","Scherfede",1833.74305555556
"254","gagan001",857.285714285714
"255","ramses005",1735.70718232044
"256","Adilet_Toleu",1420.80555555556
"257","ElCamino1988",1639.47435897436
"258","alfil_negro13",1590
"259","sasa40",2218.265917603
"260","savior287",1420.22580645161
"261","blkhawk83",1107
"262","mkashen",1158.2
"263","qwiddich",1373.37362637363
"264","can0ktay",1803.37777777778
"265","OYTO_971179789",2337.65714285714
"266","Gabiescacs02",2088.60714285714
"267","Titan1988",1000.14930555556
"268","Zotha50_2020",873
"269","Pirana1000",1933.66420664207
"270","Vanmatan91",1919.24489795918
"271","comecome2024",2222.01026694045
"272","Camufladoo",2184.55813953488
"273","Andre_P_1972_BAR",1617.43632075472
"274","Ranojoychessjunior",1566.66480446927
"275","Jonathan_Lopez_SMA68",2054.10204081633
"276","Rolnardas",1688.54406130268
"277","Andrey-09092015",1280.96875
"278","Ashaawin06",633.617647058824
"279","Toofan19roy",1608.19393939394
"280","jagguak",2152.5
"281","ChristianMarmol22",2227.2972972973
"282","egeu",1376.92173913043
"283","aebull98",1801.87356321839
"284","xxSnowyOwlxx",1850.03278688525
"285","Sibin",1070.76404494382
"286","Gerald519",1850.39360222531
"287","destroyer_god",1910.71590909091
"288","Valian19",1808.98170731707
"289","Chess_champs1",1540.43636363636
"290","Schachrentneralex",1967
"291","Quehbes",1151.34251968504
"292","arzabico",1317.11034482759
"293","Grayess",1582.27665706052
"294","LordStark1",979
"295","lil_zikky",1273.41904761905
"296","ALeKS_G1",1980.46341463415
"297","velikii_kombinator",1404.59475218659
"298","J4Josh",1630.30303030303
"299","rameshnagar46",1123.83571428571
"300","muhammad-albaker008",1990.81818181818
"301","JejeMasterMix",1148.77064220183
"302","carlosju1967",1513.26422764228
"303","martinkrpan5",2081.2027027027
"304","sellingsrud",2055.71378091873
"305","Slahiraqi",2226.33333333333
"306","anis1234",1693.52704791345
"307","behzadeliko",2190.16504854369
"308","JORCALO",1554.7875
"309","emmmreee",1986.09070294785
"310","ausente81",1923.26732673267
"311","Deussun",1843.45777777778
"312","Coolfish814",2444.11111111111
"313","firminum",1872.8963963964
"314","Shmulie",996.222222222222
"315","Yinya1337",1829.69230769231
"316","MarcusD7500",1429.76487252125
"317","JOSEANDIA37",1395.34545454545
"318","Talosia",2073.73255813953
"319","Kolomytchenko_igor",1888.41304347826
"320","radiata13",1552.77876106195
"321","TarasGlukhov",815.673575129534
"322","RODMIRA15",937.643835616438
"323","Fralda-cheia",1646.53048780488
"324","feres0",2217.69194312796
"325","armagnac",2254.6036036036
"326","adka",2341.30821917808
"327","mehedi_XLR",1731.23702031603
"328","hritwik98",1532.72222222222
"329","MadLad29",1134.47368421053
"330","AlexNevskey",1667.49214659686
"331","Chazzman4th",1327.84397163121
"332","Fletov",2146.8686440678
"333","dawidbr",1427.64454976303
"334","Peachesyotequiero",2241.02551984877
"335","puniths91",1115.39363817097
"336","ferhadozcan",1244.8379204893
"337","mertuma",1293.1497005988
"338","LexMororo",1889.02723735409
"339","pakisa2011",2195.84827586207
"340","samnolen",1576.49096385542
"341","Nemi76",1188.90562248996
"342","Alfons123",1557.19298245614
"343","minmart",2067.02469135802
"344","demig888",1351.94871794872
"345","Ilyes04",1847.01785714286
"346","Ketspatel",1528.3125
"347","hb1401",1502.51648351648
"348","kokarca",1397.80602636535
"349","teleb",1921.43497757848
"350","viresh2017",2298.63636363636
"351","fessier",2506.34285714286
"352","ampritzx",1781.04444444444
"353","mahak1393",1147.6
"354","S7H7I7V7A",1534.16417910448
"355","cid55",1596.35964912281
"356","Doncare_Raluala",1511.5067114094
"357","NYRaven",2221.32098765432
"358","alex40567",1734.03496503497
"359","Klimchuk_2009",1438.96428571429
"360","ElitsourDorel1",1565.27941176471
"361","khalid1596",1307.57763975155
"362","Tapia_14",1489.70063694268
"363","Yaman_13",1152.60670731707
"364","Shidartha7",1864.97051597052
"365","ErnarKydyrbekov",1004.11822660099
"366","balisaunda",885.285714285714
"367","Marcuss333",1498.225
"368","nahp",1214.93827160494
"369","soalove",1215.83783783784
"370","nevska777",1391.47928994083
"371","muantate",1381.15306122449
"372","PawnsGiver",1350.75
"373","sdragos99",2010.5811965812
"374","bubibubalovic",2040.46801346801
"375","zamurdnisa1",1635.23291925466
"376","lucifer2001",1635.81512605042
"377","ginkgo_biloba",2512.64761904762
"378","RSL2",1714.56730769231
"379","bitemydust007",2001.58891013384
"380","ouranjiandehuishou",2017.53333333333
"381","escabechina123",1391.40384615385
"382","wickrmathilakahcd",1788.3
"383","Esteban819",1665.17910447761
"384","AnnaGMMB",1391.38028169014
"385","Em_zi",1301.66911764706
"386","ChessAddict112358",2008.6875
"387","CarcaraDoDiabo",1631.27222222222
"388","Nivhal",1645.35828877005
"389","Danielostry",1106
"390","marema-mt",1919.65193370166
"391","Romanoveg",2101.06896551724
"392","apokalips21",1316.55752212389
"393","Tholitjambi",1848.7247706422
"394","k4w3r",1028.16842105263
"395","moazyagan",1866.08208955224
"396","Grex0r",1949.97590361446
"397","CianOM3553",1967.25
"398","Arabzhan_Islam",1320.32558139535
"399","KhalidElmasrey2021",2180.67409948542
"400","F935",1049.48780487805
"401","Darksebastian83",1483.78205128205
"402","astropup",1821.58518518519
"403","Debu4541",1589.70833333333
"404","tasteurlose",2110.66666666667
"405","RoonilWaz",1676.8664921466
"406","nibbur",1813.15105740181
"407","Dmitriyll",1296.55769230769
