"","usernames","start_date","account_age_days","number_of_games","games_per_day","elo_progress_day","n_friends_G","n_friends_US","grit","grit_friend_G","grit_friend_US","grit_not_friend_G","grit_not_friend_US"
"214","chintan14911","2019-12-14 05:47:11",1478,1324,0.895805142083897,0.144790257104195,0,1,0.0562848513258612,NA,Inf,0.0562848513258612,0.0501141536796149
"215","Siddharth_Subbareddy","2022-04-29 23:12:32",612,298,0.486928104575163,-0.975490196078431,0,0,0.0440211920582613,NA,NA,0.0440211920582613,0.0440211920582613
"216","Mr_Roma_Mounir","2019-11-04 00:19:27",1520,4115,2.70723684210526,0.294078947368421,2,2,-0.101129325781987,-0.980829253011726,-0.980829253011726,-0.0704842079187099,-0.0704842079187099
"217","Vidhubiju","2021-06-12 13:29:41",900,205,0.227777777777778,0.156666666666667,0,0,-0.11216504335216,NA,NA,-0.11216504335216,-0.11216504335216
"218","Densus88","2020-07-19 02:00:01",1260,7978,6.33174603174603,0.332539682539683,0,2,-0.111132626447809,NA,NA,-0.111132626447809,-0.111206608040671
"219","ezenechea","2018-05-02 02:28:12",1910,884,0.46282722513089,0.0926701570680628,2,2,0.142626272174988,0.287682072451781,0.287682072451781,0.137040925317493,0.137040925317493
"220","Ziunel","2023-06-11 20:57:24",182,475,2.60989010989011,-3.96153846153846,1,1,-0.0971637484536477,-Inf,-Inf,-0.0931867147261176,-0.0931867147261176
"221","HacketonEnigmatico","2023-02-10 02:59:42",267,378,1.41573033707865,-1.19475655430712,0,0,0.207620635205185,NA,NA,0.207620635205185,0.207620635205185
"222","GoatHernando","2023-01-09 22:06:15",358,6699,18.7122905027933,0.335195530726257,0,1,0.0633619735150861,NA,NA,0.0633619735150861,0.0612013677051806
"223","yusufbabuscu","2020-03-01 00:39:09",1191,813,0.682619647355164,0.17296389588581,0,1,-0.0590876721795982,NA,1.38629436111989,-0.0590876721795982,-0.0724955020381534
"224","Perriyeah","2021-01-04 04:07:02",1057,3062,2.89687795648061,0.559129612109745,2,2,0.04523758217473,-1.79175946922805,-1.79175946922805,0.05206119029648,0.05206119029648
"225","terrynguyen98","2020-09-03 07:52:27",1100,4335,3.94090909090909,0.274545454545455,0,2,-0.0259070535119818,NA,-Inf,-0.0259070535119818,-0.0238396428763497
"226","HectorNaelUtrera","2022-09-24 04:00:08",432,242,0.560185185185185,1.09953703703704,0,0,0.271430823846189,NA,NA,0.271430823846189,0.271430823846189
"227","MoChess90","2020-10-21 19:19:05",949,1561,1.64488935721812,0.536354056902002,0,2,-0.0685199464367558,NA,-0.405465108108164,-0.0685199464367558,-0.0577461305774064
"228","aw0721","2022-10-10 19:08:17",424,112,0.264150943396226,1.51650943396226,0,0,-0.977350988635402,NA,NA,-0.977350988635402,-0.977350988635402
"229","chessrook23","2023-09-21 07:01:15",102,552,5.41176470588235,14.1274509803922,9,0,-0.0424306071297053,Inf,NA,-0.0810284149982958,-0.0424306071297053
"230","DXLNT1","2020-05-22 03:33:54",1320,3725,2.8219696969697,-0.111363636363636,1,7,0.0701611965806214,NA,-1.70474809223843,0.082381307915397,0.0938871205345888
"231","Saumyabha","2023-08-28 02:02:46",126,1561,12.3888888888889,-0.976190476190476,0,1,0.064522585980537,NA,NA,0.064522585980537,0.0735316559229029
"232","philidor_hater","2023-08-07 00:17:48",102,289,2.83333333333333,4.94117647058824,0,0,-0.292136422801161,NA,NA,-0.292136422801161,-0.292136422801161
"233","DrGametao","2022-11-22 20:00:59",405,1497,3.6962962962963,-0.481481481481481,0,0,-0.114478771690241,NA,NA,-0.114478771690241,-0.114478771690241
"234","ju4njo","2020-05-22 12:04:38",1314,1701,1.29452054794521,0.184931506849315,0,6,0.132231928340661,NA,0.828373967769713,0.132231928340661,0.0627971188690351
"235","jt555000","2023-05-24 04:13:57",209,361,1.72727272727273,-1.3444976076555,1,1,0.473055595312389,-Inf,-Inf,0.171166496216259,0.171166496216259
"236","faromerocu","2020-05-28 00:32:20",1227,588,0.47921760391198,0.303178484107579,0,3,0.24732638710295,NA,0.421213465076304,0.24732638710295,0.195067012943317
"237","Diaa_Edeen","2019-09-13 11:23:23",1506,855,0.567729083665339,-0.0278884462151394,1,2,0.0115673992931656,-Inf,0.693147180559946,-0.0398822818735369,-0.0505250579314254
