"","usernames","start_date","account_age_days","number_of_games","games_per_day","elo_progress_day","n_friends_G","n_friends_US","grit","grit_friend_G","grit_friend_US","grit_not_friend_G","grit_not_friend_US"
"99","Elshadethebest","2019-06-26 02:30:04",1607,177,0.11014312383323,0.173615432482887,0,0,0.0517225543110217,NA,NA,0.0517225543110217,0.0517225543110217
"100","RobertFuntenares366","2022-05-17 14:17:57",589,2506,4.25466893039049,0.292020373514431,0,0,0.128444883236842,NA,NA,0.128444883236842,0.128444883236842
"101","Deveshkun16","2021-07-18 07:42:06",858,3055,3.56060606060606,-0.115384615384615,1,4,0.00690871322092896,Inf,-0.510825623765991,0.00958477498653815,0.0151035916889339
"102","Uniden2830","2023-09-13 18:22:02",81,1119,13.8148148148148,-6.07407407407407,0,1,-0.047486666265988,NA,NA,-0.047486666265988,-0.0447168387817961
"103","Elprin","2019-03-19 17:47:09",1742,3623,2.07979334098737,0.235361653272101,0,1,-0.197668811468204,NA,NA,-0.197668811468204,-0.179541426875647
"104","Aljoscha87","2022-01-31 20:27:21",641,776,1.21060842433697,0.53198127925117,0,0,-0.206818320743111,NA,NA,-0.206818320743111,-0.206818320743111
"105","Basico01","2020-09-22 04:32:51",1187,5874,4.9486099410278,0.349620893007582,3,4,0.0336993784412859,-0.356674943938732,0.777028664540647,0.0315358368919907,0.0277239628823629
"106","iamlisu","2022-03-16 09:46:30",650,7048,10.8430769230769,0.258461538461538,0,2,0.0207820654635725,NA,NA,0.0207820654635725,0.0221019003000369
"107","Alqudimy","2020-10-25 22:23:38",1149,2914,2.5361183637946,0.241949521322889,0,0,0.020108103539228,NA,NA,0.020108103539228,0.020108103539228
"108","BobTheBurglar","2020-11-26 22:16:20",1116,485,0.434587813620072,0.122759856630824,0,0,-0.381125017818479,NA,NA,-0.381125017818479,-0.381125017818479
"109","bobbylittlehelper","2020-11-26 21:36:10",1117,888,0.794986571172784,-0.38585496866607,1,0,0.341256136271549,-2.30258509299405,NA,0.36764807178387,0.341256136271549
"110","signature987","2020-08-15 16:02:30",1228,731,0.595276872964169,0.543159609120521,4,0,-0.0090821253534666,-0.0741079721537216,NA,-0.0108965912242131,-0.0090821253534666
"111","AlfoTal","2020-03-21 20:00:05",1376,5645,4.10247093023256,-0.0704941860465116,1,3,-0.142868213366671,0.300104592450338,0.955511445027437,-0.143751129922911,-0.155781186434381
"112","jjimenez1","2022-03-31 19:32:42",636,8473,13.3223270440252,0.493710691823899,0,0,-0.0648377879361534,NA,NA,-0.0648377879361534,-0.0648377879361534
"113","Shado9","2022-02-07 12:44:11",635,729,1.14803149606299,-0.670866141732283,1,2,-0.0859497370447613,NA,NA,-0.082041344670179,-0.0688769227361694
"114","kilo_luke","2022-12-21 23:04:03",370,898,2.42702702702703,-0.0540540540540541,0,1,0.229414432589988,NA,Inf,0.229414432589988,0.226650466786987
"115","peggiodimenessuno","2016-06-04 19:58:10",2599,8227,3.16544824932666,0.10580992689496,10,2,-0.0927485101170157,-1.67397643357167,Inf,-0.0810857857845758,-0.0916503943705698
"116","ychou","2023-02-24 23:30:25",272,406,1.49264705882353,-1.24632352941176,0,1,0.0214629298525751,NA,NA,0.0214629298525751,0.0232898910810871
"117","Dude505","2021-05-10 19:19:23",960,4290,4.46875,-0.105208333333333,0,0,-0.0577974587486625,NA,NA,-0.0577974587486625,-0.0577974587486625
"118","AlekzDav","2022-08-15 02:09:38",487,642,1.31827515400411,-0.240246406570842,0,2,0.354754588577885,NA,-Inf,0.354754588577885,0.350335489610924
"119","Serdel73","2019-05-09 20:50:11",1679,1481,0.882072662298988,-0.100059559261465,2,3,-0.140248795742622,-0.86222351060388,-0.693147180559945,-0.00551361818688955,-0.125655614593131
"120","zwitterfijon","2022-02-25 13:07:37",601,265,0.440931780366057,0.173044925124792,2,1,-0.0746372891066281,-0.287682072451781,-0.405465108108164,-0.0666196873413957,-0.0661398025045454
"121","schnitzel11","2020-05-24 21:19:06",1314,2255,1.71613394216134,-0.0852359208523592,0,2,-0.128933623357761,NA,-0.543442928689822,-0.128933623357761,-0.0856452565585867
"122","vWasu","2023-02-08 23:07:19",235,205,0.872340425531915,0.48936170212766,0,0,-0.0879687729459573,NA,NA,-0.0879687729459573,-0.0879687729459573
"123","diman4ik00","2023-02-08 04:08:44",305,529,1.7344262295082,-0.678688524590164,1,0,0.111904195865642,0.0640576363002205,NA,-0.00757989552276888,0.111904195865642
"124","JOVENJOAQUIN","2017-08-27 01:52:28",2305,153,0.0663774403470716,0.176138828633406,1,1,-0.0190481949706944,1.38629436111989,1.38629436111989,-0.229574441644501,-0.229574441644501
"125","wintersws","2016-03-22 12:51:03",2823,1747,0.618845200141693,0.153382925965285,0,1,0.012014055348635,NA,NA,0.012014055348635,0.0188555871653518
"126","MRSERIO","2020-05-09 09:15:07",1327,626,0.471740768651093,0.223059532780708,0,0,-0.18161757929216,NA,NA,-0.18161757929216,-0.18161757929216
"127","leoncioguz","2021-02-21 01:06:54",841,6300,7.4910820451843,0.177170035671819,0,5,-0.0813781622025404,NA,Inf,-0.0813781622025404,-0.0825528025797936
"128","PrettoMarcelo","2023-04-18 20:41:03",246,735,2.98780487804878,-2.86585365853659,0,0,-0.313635819488309,NA,NA,-0.313635819488309,-0.313635819488309
"129","BalChess73","2021-01-09 03:07:41",1084,7270,6.70664206642066,0.0230627306273063,2,2,-0.0466349942534185,-Inf,0.328504066972036,-0.0472472879798993,-0.0476222985837179
"130","TORO_CCN","2023-08-04 08:05:54",147,338,2.29931972789116,1.2312925170068,0,0,-0.124727318148676,NA,NA,-0.124727318148676,-0.124727318148676
"131","isawedthisboatinhalf","2020-05-23 04:17:40",1307,454,0.347360367253252,0.107880642693191,0,0,0.00998088899768058,NA,NA,0.00998088899768058,0.00998088899768058
"132","Majadebij","2020-03-17 20:08:49",1378,4230,3.06966618287373,0.201741654571843,2,5,0.212802931484254,-Inf,-Inf,0.216363781038701,0.228048572017036
"133","bhupi123","2020-07-26 04:05:45",1251,2244,1.79376498800959,0.238209432454037,0,0,0.169338681182101,NA,NA,0.169338681182101,0.169338681182101
"134","Abody2","2023-08-08 09:59:35",120,194,1.61666666666667,-4.55,0,0,0.111839481755535,NA,NA,0.111839481755535,0.111839481755535
"135","qfe3","2016-02-16 19:45:59",2530,2441,0.964822134387352,0.134387351778656,0,2,-0.0442774858189115,NA,NA,-0.0442774858189115,-0.0369106573978657
"136","mrmacussay_1","2022-01-14 17:01:00",705,188,0.266666666666667,-0.10354609929078,1,1,0.109357095342312,NA,NA,0.035590945102703,0.035590945102703
"137","lazypuppy123","2020-05-05 13:45:43",1208,515,0.426324503311258,0.418046357615894,0,1,-0.0108109161042157,NA,Inf,-0.0108109161042157,-0.0459228224251463
"138","MohammedAbdElmonem","2022-05-01 20:34:26",592,300,0.506756756756757,0.378378378378378,0,1,-0.261952826485962,NA,Inf,-0.261952826485962,-0.263864507435195
"139","ziksm","2017-01-18 14:02:45",2515,3805,1.51292246520875,0.194831013916501,7,0,-0.399814339954193,-0.200670695462151,NA,-0.417902770802846,-0.399814339954193
"140","lucasindus","2019-08-24 15:17:36",1097,583,0.531449407474932,0.391066545123063,1,1,-0.047708877625458,-0.405465108108164,-0.405465108108164,-0.010679945300178,-0.010679945300178
"141","snihata","2020-12-08 16:43:00",1100,993,0.902727272727273,0.180909090909091,0,0,0.078776949674804,NA,NA,0.078776949674804,0.078776949674804
"142","Tire_Rack","2020-11-04 20:07:50",1052,3595,3.41730038022814,0.316539923954373,1,1,-0.104369082772354,0.287682072451781,0.287682072451781,-0.104999088767823,-0.104999088767823
"143","Thatstuff123","2022-03-03 15:42:20",378,1109,2.93386243386243,-0.14021164021164,0,0,-0.243027759533089,NA,NA,-0.243027759533089,-0.243027759533089
"144","deersawao07","2020-11-25 01:40:40",635,170,0.267716535433071,0.555905511811024,1,1,-0.733421079697885,NA,-Inf,-0.939757512695714,-0.691385065566547
"145","KidLightning","2020-03-22 21:20:02",1374,4386,3.19213973799127,0.331877729257642,1,4,0.0893131275930977,NA,-0.405465108108164,0.0922659329266574,0.0947246217774263
"146","dola1982","2022-07-18 17:28:29",529,6224,11.765595463138,-0.149338374291115,0,2,-0.0426315427853837,NA,-Inf,-0.0426315427853837,-0.0431264381457344
"147","Sherif_3","2023-04-05 12:46:01",267,282,1.0561797752809,-1.62921348314607,1,2,-0.274308012926524,Inf,-0.587786664902119,-0.314951100567333,-0.274497763736563
"148","Dang73","2023-08-23 10:40:59",128,848,6.625,3.4609375,0,0,-0.35933342390288,NA,NA,-0.35933342390288,-0.35933342390288
"149","nico18ab","2018-09-10 12:25:09",1921,553,0.287870900572618,0.0260281103591879,2,0,-0.213620766394371,-0.628608659422374,NA,-0.178354716931143,-0.213620766394371
"150","alexey87_87","2021-04-19 18:11:02",979,168,0.171603677221655,0.488253319713994,0,0,-0.318453731118534,NA,NA,-0.318453731118534,-0.318453731118534
"151","auroragrey667","2019-12-25 11:12:34",1379,493,0.357505438723713,0.0427846265409717,1,1,0.0509091960536564,0.405465108108164,0.405465108108164,0.0439173878792562,0.0439173878792562
"152","cuiere","2016-06-07 11:34:53",1688,681,0.403436018957346,-0.252369668246446,1,2,-0.388784767971882,NA,-Inf,-0.394430513384456,-0.393202014176107
"153","gamuza85","2020-06-29 13:40:16",804,467,0.580845771144279,-0.134328358208955,0,0,-0.26421128366353,NA,NA,-0.26421128366353,-0.26421128366353
"154","blackswordknight","2020-03-23 02:11:54",1375,4017,2.92145454545455,0.316363636363636,1,2,0.00618862616408923,-Inf,0.182321556793955,-0.0152139636532456,-0.00981761971734083
"155","dangerousssss","2020-07-21 17:49:14",974,2095,2.15092402464066,-0.139630390143737,0,2,-0.0569474211184144,NA,Inf,-0.0569474211184144,-0.0600465510203781
"156","Aviator2000","2021-02-28 23:11:06",931,365,0.392051557465091,-0.0719656283566058,1,1,0.117570679564757,0.474457979595116,0.474457979595116,0.0376549293235541,0.0376549293235541
"157","davidbonaparty","2021-08-14 05:49:32",867,838,0.966551326412918,0.408304498269896,0,0,-0.238622207130335,NA,NA,-0.238622207130335,-0.238622207130335
"158","vinceman_stegeroni","2017-11-15 16:53:56",2152,2051,0.953066914498141,0.0929368029739777,0,2,-0.121140568425339,NA,Inf,-0.121140568425339,-0.136462698207939
"159","yusnielalvarez1234","2023-08-06 17:58:20",144,1526,10.5972222222222,0.993055555555556,7,1,0.00680021746043872,-0.259511195485085,0.287682072451781,0.0156379568525315,-0.00359933869233139
"160","fa20193300k","2022-11-02 01:08:19",411,903,2.1970802919708,0.557177615571776,0,1,-0.058036457696452,NA,NA,-0.058036457696452,-0.0696368315836805
"161","beersnpies","2023-05-17 04:12:36",226,2627,11.6238938053097,0.18141592920354,0,0,-0.0569586307828315,NA,NA,-0.0569586307828315,-0.0569586307828315
"162","LittleCharlotte44","2021-08-12 17:11:04",869,2899,3.33601841196778,0.0529344073647871,0,0,-0.0346712064225424,NA,NA,-0.0346712064225424,-0.0346712064225424
"163","thegoose7777","2023-04-25 18:08:58",204,1413,6.92647058823529,-1.00980392156863,0,1,0.0925966103451329,NA,NA,0.0925966103451329,0.103263378149328
"164","joncass","2022-08-29 16:14:22",417,149,0.357314148681055,1.12470023980815,0,0,0.950192283549837,NA,NA,0.950192283549837,0.950192283549837
"165","asilbek786","2023-02-23 11:55:57",208,508,2.44230769230769,-1.65384615384615,0,2,0.139444532437563,NA,0.798507696217772,0.139444532437563,0.0527981855669708
"166","Skylerowns","2020-09-05 01:26:13",1198,707,0.590150250417362,0.198664440734558,1,1,0.190879373935261,Inf,Inf,0.189655093540646,0.189655093540646
"167","ihave17buttholes","2017-12-28 00:14:12",1864,446,0.239270386266094,0.0359442060085837,1,1,-0.161268147596122,NA,NA,-0.081225439922586,-0.081225439922586
"168","jkpirotte","2021-08-09 13:48:45",869,597,0.686996547756041,-0.365937859608746,0,0,-0.092731625405482,NA,NA,-0.092731625405482,-0.092731625405482
"169","Wiliam103","2019-07-12 20:01:37",1618,2706,1.67243510506799,0.26823238566131,1,0,0.0355239356420709,NA,NA,0.0396612282842925,0.0355239356420709
"170","UrubuRei","2016-02-09 15:47:51",2823,604,0.213956783563585,0.18349273822175,7,0,-0.218038071999143,-0.200670695462151,NA,-0.236228303057868,-0.218038071999143
"171","chicaock","2019-02-20 20:50:13",1773,6583,3.71291596164693,0.0908065425831923,1,7,-0.165819819676748,-0.451985123743057,0.500354323898695,-0.163532986230015,-0.159031829040554
"172","Julian_pal81","2023-07-05 01:16:14",165,463,2.80606060606061,0.563636363636364,0,0,-0.210578880744512,NA,NA,-0.210578880744512,-0.210578880744512
"173","JeremyMNunez","2023-08-22 00:40:45",129,342,2.65116279069767,-2.37984496124031,0,1,-0.533015106138244,NA,NA,-0.533015106138244,-0.525467900502861
"174","AttackAddic","2022-11-24 01:50:08",400,253,0.6325,1.465,0,0,-0.0962561220611004,NA,NA,-0.0962561220611004,-0.0962561220611004
"175","LearningNewbie","2020-11-12 15:36:49",1141,4560,3.99649430324277,0.239263803680982,0,0,-0.0359202023798871,NA,NA,-0.0359202023798871,-0.0359202023798871
"176","hamrazmusthafa143","2021-10-28 15:30:00",745,206,0.276510067114094,0.730201342281879,0,0,-0.20875481386211,NA,NA,-0.20875481386211,-0.20875481386211
